company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma Adv,399.00,339.00,387.25,338.40,48.85,14.44
Adani Energy,"1,250.00","1,072.00","1,183.20","1,062.45",120.75,11.37
Sobha,"1,140.00","1,009.05","1,119.50","1,010.55",108.95,10.78
Adani Total Gas,"1,100.95","1,032.20","1,099.30","1,000.90",98.4,9.83
NBCC (India),88.55,79.75,88.00,80.60,7.4,9.18
Borosil Renew,470.00,430.20,466.00,431.60,34.4,7.97
Vaibhav Global,442.55,402.65,432.20,406.85,25.35,6.23
Biocon,284.50,265.60,282.35,266.20,16.15,6.07
Adani Green Ene,"1,747.40","1,610.00","1,697.25","1,603.55",93.7,5.84
Adani Power,544.50,525.00,544.50,518.60,25.9,4.99
Bajaj Auto,"7,059.85","6,604.00","6,986.50","6,665.05",321.45,4.82
Bandhan Bank,258.15,241.00,253.90,242.35,11.55,4.77
Prestige Estate,"1,311.15","1,188.00","1,258.25","1,201.60",56.65,4.71
HLE Glascoat,565.30,534.45,557.70,534.40,23.3,4.36
HLE Glascoat,565.30,534.45,557.70,534.40,23.3,4.36
Avanti Feeds,458.50,429.60,449.20,430.85,18.35,4.26
Bank of Mah,47.60,45.60,47.30,45.45,1.85,4.07
Shyam Metalics,677.00,632.55,668.70,643.00,25.7,4
Adani Wilmar,397.80,376.35,380.95,366.60,14.35,3.91
IFB Industries,992.00,944.55,982.75,947.55,35.2,3.71
Bajaj Holdings,"8,220.55","7,711.20","8,103.40","7,817.75",285.65,3.65
JB Chemicals,"1,712.00","1,630.00","1,700.30","1,640.70",59.6,3.63
JB Chemicals,"1,712.00","1,630.00","1,700.30","1,640.70",59.6,3.63
RITES,530.00,499.50,518.85,501.30,17.55,3.5
One 97 Paytm,678.75,648.35,673.70,651.10,22.6,3.47
Engineers India,209.50,194.35,203.85,197.20,6.65,3.37
HFCL,90.40,83.55,88.05,85.20,2.85,3.35
FDC,432.80,400.00,411.70,398.60,13.1,3.29
Canara Bank,462.75,444.35,458.25,443.95,14.3,3.22
HINDPETRO,423.55,405.50,421.80,408.70,13.1,3.21
Manappuram Fin,176.70,168.50,173.90,168.50,5.4,3.2
eClerx Services,"2,599.40","2,505.00","2,583.05","2,505.30",77.75,3.1
Indian Hotels,455.00,438.00,451.45,438.20,13.25,3.02
UCO Bank,41.75,39.80,41.05,39.85,1.2,3.01
Shriram Finance,"2,098.00","2,029.00","2,090.05","2,030.05",60,2.96
Welspun Living,148.20,143.25,147.40,143.25,4.15,2.9
Hindustan Aeron,"2,886.55","2,763.00","2,870.00","2,791.80",78.2,2.8
Hindustan Aeron,"2,886.55","2,763.00","2,870.00","2,791.80",78.2,2.8
GMR Airports,83.00,78.85,81.80,79.60,2.2,2.76
PVR INOX,"1,720.60","1,667.00","1,713.80","1,667.80",46,2.76
INDUS TOWERS,209.35,200.30,207.70,202.15,5.55,2.75
Gland,"2,040.00","1,979.00","2,031.10","1,977.00",54.1,2.74
Mahindra Logist,448.20,433.45,444.65,433.45,11.2,2.58
Thermax,"3,246.10","3,082.05","3,174.35","3,095.80",78.55,2.54
Rail Vikas,189.00,182.75,185.30,180.80,4.5,2.49
MRPL,133.50,129.10,132.75,129.55,3.2,2.47
Phoenix Mills,"2,299.00","2,232.10","2,290.45","2,235.35",55.1,2.46
Adani Enterpris,"3,199.00","2,955.60","3,003.00","2,932.40",70.6,2.41
CG Consumer,320.75,308.80,318.75,311.40,7.35,2.36
L&T Finance,170.80,162.50,166.15,162.35,3.8,2.34
Sundaram Fin,"3,640.90","3,505.00","3,611.50","3,531.10",80.4,2.28
New India Assur,222.00,214.05,218.50,213.65,4.85,2.27
NCC,172.20,166.50,170.65,166.90,3.75,2.25
Interglobe Avi,"3,000.00","2,929.35","2,990.45","2,925.70",64.75,2.21
Vedanta,267.25,255.85,263.80,258.15,5.65,2.19
Delhivery,404.40,389.50,397.00,388.55,8.45,2.17
V-Mart Retail,"2,105.00","2,014.05","2,092.55","2,049.15",43.4,2.12
Trent,"3,107.90","2,988.35","3,058.35","2,995.20",63.15,2.11
Aether Ind,916.80,880.90,902.25,884.30,17.95,2.03
Metro Brands,"1,285.00","1,245.40","1,267.80","1,242.75",25.05,2.02
Pfizer,"4,389.00","4,291.75","4,376.05","4,290.65",85.4,1.99
Patanjali Foods,"1,613.00","1,552.00","1,594.55","1,563.40",31.15,1.99
Ajanta Pharma,"2,244.45","2,170.05","2,232.85","2,189.75",43.1,1.97
Polyplex Corp,"1,147.80","1,103.40","1,132.50","1,110.95",21.55,1.94
Max Healthcare,692.85,669.45,690.90,677.85,13.05,1.93
Finolex Ind,213.60,207.30,212.85,208.85,4,1.92
Alembic Pharma,824.95,796.05,807.60,792.45,15.15,1.91
EID Parry,572.00,557.95,570.10,559.90,10.2,1.82
Godrej Prop,"2,060.00","2,007.15","2,052.35","2,016.00",36.35,1.8
Orient Electric,234.65,226.95,232.75,228.65,4.1,1.79
Natco Pharma,842.00,823.55,835.45,820.85,14.6,1.78
Union Bank,123.55,120.25,123.05,120.90,2.15,1.78
GE Shipping,"1,015.00",980.65,995.45,978.35,17.1,1.75
Chambal Fert,388.00,378.05,386.70,380.10,6.6,1.74
Sun TV Network,723.60,704.50,718.90,707.00,11.9,1.68
Chola Invest.,"1,250.00","1,218.15","1,240.50","1,220.10",20.4,1.67
Sundram,"1,253.70","1,221.35","1,250.50","1,229.90",20.6,1.67
Central Bank,52.95,50.65,51.95,51.10,0.85,1.66
IOC,133.85,130.30,132.70,130.55,2.15,1.65
V-Guard Ind,295.50,288.55,294.75,290.00,4.75,1.64
IndusInd Bank,"1,604.95","1,558.00","1,601.15","1,575.60",25.55,1.62
Mazagon Dock,"2,299.00","2,215.95","2,282.75","2,246.95",35.8,1.59
ABB India,"4,829.90","4,699.10","4,775.55","4,701.60",73.95,1.57
Bank of India,116.95,113.40,116.20,114.40,1.8,1.57
Sterling Wilson,461.00,445.15,448.80,441.90,6.9,1.56
BLS Internation,328.40,319.45,326.80,321.80,5,1.55
KPIL,716.80,696.55,711.55,700.75,10.8,1.54
Suven Pharma,750.00,723.05,738.75,727.55,11.2,1.54
Global Health,965.00,938.45,959.00,944.55,14.45,1.53
IRCTC,910.00,886.20,899.25,886.20,13.05,1.47
ITC,480.70,469.35,477.25,470.35,6.9,1.47
Adani Ports,"1,144.00","1,062.75","1,094.25","1,078.40",15.85,1.47
TVS Motor,"2,015.90","1,960.35","1,997.90","1,969.15",28.75,1.46
Cipla,"1,307.00","1,274.05","1,300.15","1,281.55",18.6,1.45
Coromandel Int,"1,252.00","1,224.20","1,248.75","1,230.85",17.9,1.45
Muthoot Finance,"1,493.35","1,452.60","1,475.85","1,454.70",21.15,1.45
CHEMPLAST SANMA,515.05,499.25,510.05,502.85,7.2,1.43
KFin Tech,493.00,479.80,488.35,481.50,6.85,1.42
RBL Bank,287.30,278.30,284.90,280.90,4,1.42
KEI Industries,"3,259.95","3,131.10","3,226.45","3,183.30",43.15,1.36
Oberoi Realty,"1,467.75","1,433.00","1,459.00","1,439.60",19.4,1.35
Trident,38.65,37.40,37.90,37.40,0.5,1.34
Bharti Airtel,"1,037.00","1,021.35","1,035.20","1,021.70",13.5,1.32
CDSL,"1,848.00","1,819.10","1,843.15","1,819.10",24.05,1.32
EIH,270.00,262.85,269.05,265.55,3.5,1.32
Godfrey Phillip,"2,206.90","2,140.20","2,181.70","2,153.25",28.45,1.32
Jamna Auto,112.45,109.50,111.30,109.85,1.45,1.32
Ceat,"2,471.65","2,406.60","2,447.45","2,416.40",31.05,1.28
Havells India,"1,421.35","1,381.30","1,397.70","1,380.10",17.6,1.28
Quess Corp,517.50,502.55,513.35,506.85,6.5,1.28
Pidilite Ind,"2,792.00","2,728.05","2,772.25","2,737.70",34.55,1.26
Torrent Pharma,"2,368.20","2,301.60","2,351.40","2,322.20",29.2,1.26
Easy Trip,41.15,40.00,40.95,40.45,0.5,1.24
Easy Trip,41.15,40.00,40.95,40.45,0.5,1.24
PNB Housing Fin,803.95,785.10,788.15,778.50,9.65,1.24
TeamLease Ser.,"3,216.25","3,116.95","3,183.95","3,144.95",39,1.24
Epigral,"1,096.00","1,037.05","1,064.00","1,051.10",12.9,1.23
Exide Ind,328.80,318.00,326.00,322.15,3.85,1.2
Indian Bank,423.00,415.20,421.30,416.30,5,1.2
JM Financial,103.50,99.50,101.10,99.90,1.2,1.2
Abbott India,"23,650.00","23,220.20","23,606.60","23,327.25",279.35,1.2
City Union Bank,154.20,150.70,152.95,151.20,1.75,1.16
Lux Industries,"1,312.00","1,293.70","1,307.85","1,292.85",15,1.16
IOB,44.90,43.35,43.95,43.45,0.5,1.15
BEML,"2,835.70","2,766.15","2,815.25","2,783.60",31.65,1.14
Indiabulls Real,90.15,86.90,88.40,87.40,1,1.14
Polycab,"5,426.60","5,309.00","5,404.55","5,346.60",57.95,1.08
Siemens,"4,110.00","4,054.15","4,085.15","4,041.60",43.55,1.08
Alkem Lab,"5,266.95","5,156.20","5,240.50","5,186.00",54.5,1.05
BPCL,465.30,455.05,461.05,456.25,4.8,1.05
Glenmark,903.40,883.00,897.90,888.80,9.1,1.02
Tata Inv Corp,"4,300.00","4,211.45","4,253.85","4,211.45",42.4,1.01
Firstsource Sol,186.75,182.15,186.00,184.15,1.85,1
Ambuja Cements,549.00,528.15,536.10,530.90,5.2,0.98
Zydus Wellness,"1,693.70","1,662.00","1,689.55","1,673.70",15.85,0.95
Lakshmi Machine,"13,904.45","13,472.55","13,692.70","13,563.90",128.8,0.95
Rashtriya Chem,173.40,166.10,171.65,170.05,1.6,0.94
Bank of Baroda,235.45,227.25,232.85,230.70,2.15,0.93
Intellect Desig,844.00,815.00,826.80,819.15,7.65,0.93
REC,431.85,415.35,423.55,419.70,3.85,0.92
IRFC,101.95,99.00,100.90,100.00,0.9,0.9
IDBI Bank,68.55,67.10,67.90,67.30,0.6,0.89
Power Finance,401.30,385.00,393.10,389.65,3.45,0.89
Lupin,"1,412.90","1,388.10","1,406.40","1,394.35",12.05,0.86
GlaxoSmithKline,"2,122.00","2,042.20","2,065.85","2,049.00",16.85,0.82
Blue Dart,"7,456.00","7,314.00","7,411.20","7,351.85",59.35,0.81
BSE Limited,"2,274.00","2,210.00","2,253.35","2,235.95",17.4,0.78
Godrej Consumer,"1,173.50","1,155.00","1,168.10","1,159.15",8.95,0.77
CreditAccess Gr,"1,624.00","1,561.00","1,585.30","1,573.75",11.55,0.73
India Cements,269.50,259.85,262.95,261.05,1.9,0.73
Petronet LNG,229.80,225.60,228.30,226.65,1.65,0.73
SRF,"2,525.00","2,464.85","2,506.35","2,488.30",18.05,0.73
Sanofi India,"8,393.40","8,280.00","8,365.15","8,305.20",59.95,0.72
TCNS Clothing C,410.75,400.05,407.60,404.70,2.9,0.72
Torrent Power,952.90,939.65,944.30,937.70,6.6,0.7
United Brewerie,"1,841.65","1,803.60","1,824.95","1,812.60",12.35,0.68
SKF India,"4,584.90","4,535.00","4,551.20","4,520.80",30.4,0.67
Whirlpool,"1,367.00","1,355.90","1,363.95","1,355.05",8.9,0.66
Chola Fin Hold,"1,016.05","1,002.05","1,012.65","1,006.20",6.45,0.64
Oil India,391.85,377.30,385.70,383.30,2.4,0.63
SBI,648.00,635.80,643.45,639.45,4,0.63
IRB Infra,41.80,41.05,41.55,41.30,0.25,0.61
IRB Infra,41.80,41.05,41.55,41.30,0.25,0.61
