company_name,high,low,last_price,prev_close,change,percent_gain
HFCL,107.20,93.00,105.65,93.65,12,12.81
IFB Industries,"1,155.00","1,013.45","1,125.85","1,008.45",117.4,11.64
HUDCO,168.20,145.55,165.75,149.90,15.85,10.57
Motilal Oswal,"1,860.60","1,522.20","1,712.35","1,550.50",161.85,10.44
IDBI Bank,87.00,76.30,84.20,76.40,7.8,10.21
KEI Industries,"3,360.00","2,994.35","3,314.75","3,014.25",300.5,9.97
MMTC Ltd,75.80,66.70,75.65,68.95,6.7,9.72
SJVN,114.00,102.60,113.15,103.90,9.25,8.9
General Insuran,374.00,328.30,362.60,334.15,28.45,8.51
Vaibhav Global,520.00,470.05,516.10,475.95,40.15,8.44
REC,473.25,435.50,467.50,434.75,32.75,7.53
Borosil Renew,632.50,555.40,608.75,566.55,42.2,7.45
PB Fintech,930.00,859.00,922.95,860.20,62.75,7.29
NALCO,137.80,127.20,135.60,126.75,8.85,6.98
Trident,46.70,42.50,45.85,42.95,2.9,6.75
NBCC (India),105.90,96.50,105.25,98.60,6.65,6.74
Zee Entertain,170.40,158.00,166.35,155.95,10.4,6.67
Power Finance,422.95,390.05,421.75,395.55,26.2,6.62
IRFC,173.30,151.00,171.90,161.30,10.6,6.57
NMDC Steel,55.00,51.10,54.60,51.35,3.25,6.33
Infibeam Avenue,27.35,25.80,27.20,25.60,1.6,6.25
Jubilant Pharmo,571.80,534.20,567.90,535.25,32.65,6.1
INDUS TOWERS,236.00,219.00,229.95,217.10,12.85,5.92
NHPC,81.70,75.45,80.40,75.95,4.45,5.86
Hind Copper,275.00,257.35,273.65,258.70,14.95,5.78
SAIL,115.50,109.00,115.05,108.80,6.25,5.74
TCNS Clothing C,395.75,371.05,393.65,372.40,21.25,5.71
Aditya Birla F,237.35,222.75,235.30,222.70,12.6,5.66
Tejas Networks,788.00,742.70,785.45,743.50,41.95,5.64
PCBL,326.20,305.30,321.25,304.55,16.7,5.48
IOB,46.85,43.45,46.05,43.70,2.35,5.38
Olectra Greente,"1,719.95","1,576.00","1,694.55","1,608.85",85.7,5.33
Prestige Estate,"1,262.25","1,065.20","1,196.50","1,136.45",60.05,5.28
Bank of Mah,54.00,50.15,53.75,51.10,2.65,5.19
Apar Ind,"5,650.00","5,330.15","5,628.90","5,351.70",277.2,5.18
Engineers India,239.70,218.60,233.65,222.15,11.5,5.18
Sterling Wilson,550.10,507.20,550.10,523.95,26.15,4.99
Chambal Fert,370.75,352.55,369.35,352.00,17.35,4.93
Mahindra Holida,403.40,381.35,402.00,383.35,18.65,4.87
AIA Engineering,"3,909.75","3,600.05","3,811.50","3,635.90",175.6,4.83
J. K. Cement,"4,154.85","3,990.10","4,138.00","3,948.15",189.85,4.81
Brightcom Group,18.80,17.50,18.55,17.70,0.85,4.8
Network 18,122.85,108.90,120.40,114.90,5.5,4.79
Zensar Tech,572.00,548.30,569.95,544.20,25.75,4.73
Zomato,136.90,129.80,136.20,130.10,6.1,4.69
GAIL,165.10,156.20,164.55,157.20,7.35,4.68
Guj State Petro,370.35,346.75,363.75,347.65,16.1,4.63
NMDC,212.50,203.45,211.80,202.45,9.35,4.62
Polycab,"4,400.00","4,125.40","4,361.70","4,169.95",191.75,4.6
Carborundum,"1,218.00","1,118.95","1,177.20","1,125.50",51.7,4.59
Rashtriya Chem,179.10,166.00,177.80,170.10,7.7,4.53
Bombay Burmah,"1,624.80","1,545.10","1,606.75","1,537.40",69.35,4.51
EIH,315.80,297.30,308.70,295.45,13.25,4.48
Chola Fin Hold,"1,097.80","1,020.00","1,085.60","1,039.10",46.5,4.48
Ceat,"2,900.00","2,730.35","2,876.15","2,754.15",122,4.43
BEML,"3,190.00","3,008.85","3,159.75","3,026.80",132.95,4.39
Hindalco,566.80,547.00,565.15,541.40,23.75,4.39
MCX India,"3,184.00","2,958.00","3,164.65","3,032.25",132.4,4.37
TV18 Broadcast,63.70,59.30,63.40,60.75,2.65,4.36
BLS Internation,397.30,375.25,393.75,377.45,16.3,4.32
Easy Trip,47.00,44.30,46.70,44.80,1.9,4.24
Easy Trip,47.00,44.30,46.70,44.80,1.9,4.24
Amber Enterpris,"3,840.00","3,600.10","3,817.90","3,663.30",154.6,4.22
Vedanta,263.30,253.10,262.55,252.15,10.4,4.12
Asahi India,588.85,556.55,580.70,557.80,22.9,4.11
Alembic Pharma,993.60,935.95,981.40,943.00,38.4,4.07
Atul,"6,450.00","6,165.00","6,424.65","6,174.15",250.5,4.06
Sun Pharma Adv,380.20,359.50,376.95,362.35,14.6,4.03
Dr Reddys Labs,"5,915.00","5,693.00","5,902.10","5,674.40",227.7,4.01
Indiabulls Real,99.10,93.25,98.25,94.50,3.75,3.97
Sun TV Network,645.50,614.00,643.95,619.75,24.2,3.9
Tata Steel,135.55,130.10,135.15,130.10,5.05,3.88
Tata Steel,135.55,130.10,135.15,130.10,5.05,3.88
Alkem Lab,"5,022.10","4,816.50","4,999.60","4,815.70",183.9,3.82
ITI,348.50,322.50,343.50,330.90,12.6,3.81
PNC Infratech,402.00,377.95,400.35,385.70,14.65,3.8
Elgi Equipments,578.85,551.90,575.05,554.10,20.95,3.78
IRCTC,977.00,909.10,970.60,935.35,35.25,3.77
New India Assur,239.45,221.50,235.55,227.00,8.55,3.77
Glenmark,893.50,854.15,890.20,858.15,32.05,3.73
JM Financial,111.65,104.10,110.15,106.20,3.95,3.72
VIP Industries,562.20,533.90,558.35,538.30,20.05,3.72
Manappuram Fin,175.00,168.90,174.55,168.30,6.25,3.71
LIC India,924.00,866.00,907.20,875.25,31.95,3.65
NOCIL,267.50,254.05,265.95,256.60,9.35,3.64
Mahindra Logist,432.95,411.15,431.70,416.70,15,3.6
Central Bank,55.10,51.55,54.85,52.95,1.9,3.59
G R Infra,"1,176.50","1,118.05","1,169.55","1,129.20",40.35,3.57
Balkrishna Ind,"2,732.05","2,610.80","2,714.55","2,621.95",92.6,3.53
Jindal Stainles,553.25,513.50,548.50,529.95,18.55,3.5
Rail Vikas,305.55,265.15,298.85,288.75,10.1,3.5
PNB,102.65,97.80,102.20,98.75,3.45,3.49
Cummins,"2,177.00","2,042.05","2,170.80","2,097.75",73.05,3.48
Vodafone Idea,15.00,14.25,14.90,14.40,0.5,3.47
Power Grid Corp,247.00,235.00,246.20,237.95,8.25,3.47
HCL Tech,"1,581.20","1,523.70","1,576.40","1,523.65",52.75,3.46
Rattanindia Ent,82.85,77.75,82.15,79.40,2.75,3.46
Radico Khaitan,"1,676.50","1,604.05","1,668.35","1,612.70",55.65,3.45
MOTHERSON,110.55,104.20,110.00,106.35,3.65,3.43
